tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_45_27526689,12.97,77.63,Airtel,60,2100,43,30,Indiranagar,UMTS,1000,1,0,404,45,34202,27526689
OCI_404_86_7382,12.97,77.64,Vi,65,900,43,35,Indiranagar,GSM,1000,1,0,404,86,31103,7382
OCI_405_803_10761,12.97,77.64,Unknown,65,900,43,35,Indiranagar,GSM,1000,1,0,405,803,1193,10761
OCI_405_861_42261,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,16,42261
OCI_405_861_4883984,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,16,4883984
OCI_404_86_20409154,12.97,77.64,Vi,60,2100,43,30,Indiranagar,UMTS,1000,1,0,404,86,21102,20409154
OCI_405_861_42256,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,16,42256
OCI_404_86_204988961,12.97,77.64,Vi,70,1800,46,30,Indiranagar,LTE,1000,1,0,404,86,54105,204988961
OCI_405_861_1597719,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,2836,1,0,405,861,16,1597719
OCI_405_861_204921889,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,65472,204921889
OCI_404_86_205294598,12.97,77.64,Vi,70,1800,46,30,Indiranagar,LTE,1000,1,0,404,86,65406,205294598
OCI_405_861_242212,12.97,77.63,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,32,242212
OCI_405_34_28743,12.97,77.64,Unknown,65,900,43,35,Indiranagar,GSM,1000,1,0,405,34,25001,28743
OCI_405_861_1597713,12.97,77.64,Jio,70,1800,46,30,Indiranagar,LTE,1000,1,0,405,861,16,1597713
OCI_404_71_10227,12.97,77.64,BSNL,65,900,43,35,Indiranagar,GSM,1000,1,0,404,71,2510,10227
OCI_405_34_4671,12.97,77.64,Unknown,65,900,43,35,Indiranagar,GSM,1000,1,0,405,34,25001,4671
OCI_404_86_20409154,12.97,77.64,Vi,60,2100,43,30,Indiranagar,UMTS,1000,1,0,404,86,21801,20409154
OCI_405_803_10762,12.97,77.64,Unknown,65,900,43,35,Indiranagar,GSM,1000,1,0,405,803,1193,10762
